1929 ou 1989 ?	1929年还是1989年?
Tout cela contribue à un risque stratégique hautement fondamental : si le PTCI s'arrête ou s'effondre, tandis que le PTP va de l'avant et réussit, alors l'équilibre mondial va pencher fortement en faveur de l'Asie et l'Europe aura peu d'options, le cas échéant, pour retrouver une influence économique et géopolitique.	所有这些凸显出一个根本新战略风险：如果TTIP无法取得进展或失败，而TPP取得进展并成功，则全球平衡将朝着极有利于亚洲的方向发展 — — 欧洲极有可能无法重振其经济和地缘政治影响力。
Lorsque le PTCI a tout d'abord été proposé, l'Europe semblait reconnaître sa valeur.	TTIP首次提出时，欧洲似乎能够认识到其价值。
En effet, c'est l'UE qui a poussé les États-Unis, qui doutaient alors de l'engagement de l'Europe, à lancer le processus de négociations en juin 2013.	事实上，是欧洲推动一开始对欧洲的承诺有所怀疑的美国在2013年6月启动了谈判程序。
L'ambition était d'achever les négociations en un seul et même mouvement.	当时人们雄心万丈，意图“一鼓作气”完成谈判。
Personne ne voulait devoir supporter des pourparlers prolongés, ni les lourdeurs politiques qui en découlent.	没人想让谈判长久拖延 — — 或忍受因此带来的政治痛苦。
Mais les dirigeants de l'UE ont abandonné le fond du projet, confirmant ainsi en apparence les craintes américaines.	但欧盟领导人在事实上抛弃了这一工程，而这也印证了美国的担心。
Les négociateurs commerciaux ont eu du mal à progresser, tandis que les groupes anti-mondialisation ont pris le contrôle du discours public, en présentant le PTCI comme une menace pour tous les organes de l'Europe, depuis la démocratie jusqu'à ses services de santé.	贸易谈判在挣扎中前行，而反全球化组织掌握了公共观点的控制权，将TTIP描述为对一切事物的威胁 — — 从欧洲的民主到欧洲的健康莫不如此。
Cet exposé est dangereusement inexact et les dirigeants de l'UE doivent l'empêcher de gagner plus de terrain en en faisant un argument stratégique pour l'accord.	这是非常危险的错误言论，欧盟领导人必须拿出推进TTIP的战略性理由，从而阻止这一言论获得更大的市场。
Et ils doivent ranimer leur engagement à conclure les négociations avec succès en 2015.	他们还必须重振2015年成功完成谈判的承诺。
Cela ne veut pas dire que la résolution des questions en suspens dans les négociations du PTCI sera simple.	这并不是说解决TTIP谈判中仍然存在的问题轻而易举。
Mais établir un accord commercial, en particulier celui qui implique tant de questions réglementaires est toujours difficile, car il faut tenir compte de la complexité et de la variabilité des économies modernes.	但签订贸易协议，特别是包含如此多监管问题的贸易协议，永远不是件容易事，因为它必须考虑到现代经济的复杂性和易变性。
Le fait est que les défis inhérents à l'achèvement du PTCI ne sont pas plus difficiles à résoudre que ceux auxquels les dirigeants européens ont dû faire face au cours des dernières années de crise.	事实上，完成TTIP所包含的挑战并不比欧盟领导人在过去几年的危机中所遇到的挑战更棘手。
Quand vont reprendre les négociations du PTCI le mois prochain, les dirigeants européens devront faire pression pour entraîner un véritable progrès, avec l'objectif de parvenir à un accord d'ici la fin de l'année.	TTIP谈判将在下个月重启，届时欧盟领导人必须推动真正的进展，并以在年底完成协议为目标。
La bonne nouvelle, c'est que les récentes élections de mi-mandat aux États-Unis pourraient bien augmenter leurs chances.	好消息是最近的美国中期选举有可能增加他们成功的机会。
Le président Barack Obama pourrait obtenir à présent du Congrès le « pouvoir de négociation accélérée ».	现在，美国总统奥巴马可能将从国会获得所谓的快速谈判授权。
Si cela devait effectivement se produire, le Congrès pourrait tout simplement approuver ou rejeter tout accord négocié, plutôt que devoir le passer en revue.	果真如此的话，美国国会将对谈成的协议予以批准或否决，而不能束之高阁。
La période des élections présidentielles américaines commence et d'autres problèmes de cette nouvelle année pourraient facilement revenir en tête de l'ordre du jour de l'UE.	美国总统竞选季即将来开帷幕，在新的一年里，其他问题可能轻而易举地取代欧盟日程。
C'est pourquoi les dirigeants européens n'ont pas de temps à perdre.	正因如此，欧洲领导人已无时间可以浪费。
Ils doivent saisir les opportunités économiques et éviter un désastre stratégique.	他们必须抓住经济机会 — — 并避免战略灾难。
	
Les tests d'intelligence et la pensée rationnelle	理性对阵智力
TORONTO – En 2002, Daniel Kahneman, un spécialiste en psychologie cognitive de l'université de Princeton, a remporté le prix Nobel d'économie pour le travail qu'il a réalisé avec Amos Tversky, son collaborateur de longue date (mort en 1996).	多伦多 — 2002年，来自普林斯顿大学的认知科学家丹尼尔·卡纳曼获得了该年度的诺贝尔经济学奖，表彰他和长期合作者阿莫斯·特沃斯基（已经于1996年过世）所作的贡献。
Ils ont étudié notamment le processus de prise de décision – ce qui fait que nos pensées et nos actions sont rationnelles ou pas.	他们的工作针是针对判断和决策的：二者决定了我们的思想和行为是否理性。
Ils ont exploré la manière dont nous faisons des choix et évaluons des probabilités et ils ont mis en évidence les erreurs de base rencontrées couramment lors d'une prise de décision.	他们探究了人们怎样做出选择和评估可能，还揭示了在决策过程中典型的基本错误。
Ces erreurs ne relèvent pas de celles que l'on rencontre couramment dans les jeux de société.	他们所揭示的思维错误并不是客厅游戏里面的小过失。
Être rationnel suppose d'adopter des objectifs appropriés et d'agir en conséquence en se fondant sur des hypothèses compatibles avec les observations.	具有理性意味着确定适当的目标，并且基于个人的目标和信念来采取适当的行为，而且持有和可获得的证据相称的信念。
Cela signifie d'atteindre les buts que l'on s'est fixé en mettant en œuvre les meilleurs moyens pour y parvenir.	它还意味着采用尽可能最佳的手段来达成一个人的生活目标。
La violation des règles de la pensée qu'ont étudiées Kahneman et Tversky conduit à être moins satisfait de sa vie que ce que l'on pourrait l'être.	因此，如果违反卡纳曼和特沃斯基验证过的思考规律，就会带来实际后果：我们对生活的不满程度将会增大。
Les recherches menées dans mon propre laboratoire montrent qu'il y a des différences individuelles systématiques entre la capacité de jugement et la capacité de décision qu'ils ont étudiées.	在我自己实验室中进行的研究显示：在卡纳曼和特沃斯基研究过的判断和决策技能中，存在着系统性的个体差异。
Paradoxalement, le prix Nobel a été attribué pour des études de caractéristiques cognitives entièrement absentes des outils les plus connus utilisés dans les sciences du comportement : les tests d'intelligence.	具有讽刺意味的是，诺贝尔奖是针对就某些认知特征所作的研究而颁发的。 而在行为科学最广为人知的脑力评估 —智力测验里，这些认知特征却完全无影无踪。
